,"(80.25277821221758,26.863925440140154)","(72.78056033439344,26.218975840311295)","(65.30834245656914,25.57402624048242)","(57.836124485463884,24.929075108142484)","(50.363906299537334,24.284120931053707)","(42.891688259350985,23.639170230295086)","(35.53091887528324,23.031954320655224)","(28.62289658375579,22.692588698255015)","(21.243661399633176,22.067303855623237)","(14.208673404281598,21.547077735122365)","(6.840257712360342,21.094870841939915)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(80.63500858922475,44.654665960474674)","(73.33518037372,42.93347218169068)","(66.03535215821503,41.212278402906655)","(58.735524059279065,39.491086681376714)","(51.43569626310915,37.76989908701463)","(44.13589143484884,36.04869499631695)","(36.91587198193631,34.13464853183454)","(30.190150819509668,31.90075215359537)","(23.51580918988703,29.606430108851924)","(16.448846005039677,28.22778782951719)","(9.379560965028917,27.760843212454272)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(4.044653055751363,62.229593277007005)","(10.014365850416127,57.40724347412851)","(16.021371311895894,52.81265628647844)","(22.06423688671091,48.33260943229604)","(28.17058832260471,44.12966050124966)","(34.5052716507192,41.775263206359405)","(40.978553963367396,41.6136322942823)","(47.145621657117395,43.46921324637599)","(53.169238312724644,46.657895120277374)","(59.300064513881594,50.5737934779509)","(65.33372414792707,54.89667889432891)","(71.49918990974851,59.11673772693475)","(77.73535364663564,63.21075268172753)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(5.620787191959023,39.34505879420263)","(13.115163723599991,39.63526682323655)","(20.605539448524116,39.92275283318637)","(27.85831259177519,40.11797712562277)","(34.16765206037298,40.14812559607091)","(40.16475319218932,40.60015742855423)","(45.80651781148717,40.27522106052072)","(52.19133462763822,39.95670460433676)","(58.22978676446696,40.203640308287014)","(64.9145515418325,40.35757651601138)","(72.17312304531562,40.678703722798076)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"(74.76713529253183,31.679003990164432)","(67.76391652009588,34.36320346587502)","(60.760697747659904,37.047402941585595)","(53.757478961532456,39.731602437285495)","(47.12401108511209,42.30281181408209)","(41.02975955759455,44.576298645236854)","(34.42461382343459,47.536186019450085)","(27.546659840708404,50.311608701184824)","(20.56064314891352,52.95246362815036)","(13.528254955966704,55.5251858476629)","(6.473941348322082,58.058881609902)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(77.73315133045858,23.08523502190209)","(70.31227144077317,24.164732687899427)","(62.95750833638269,25.92052056259657)","(55.540795012334094,28.84676558673233)","(48.10193744955094,30.83565532120663)","(41.24337845640635,32.96033378060126)","(33.96260303811629,34.238098493928916)","(26.515718115067955,34.709269192557755)","(19.0224509418332,34.797363402980324)","(11.52159707517179,34.671368578745856)","(4.153540666298437,33.973563589694024)",,,,,,,,,,,,,,,,,,,,,,,,,
,,"(0.701629261825581,0.7892101022837923)","(7.083449462021426,5.732225786025783)","(13.498383973286144,10.26462764962602)","(19.94641475393134,14.34458901791343)","(26.41226429583835,18.247285908697158)","(32.76948717759924,22.049161398546417)","(38.68393026321313,25.569529070886897)","(44.96765866758036,29.23520024022522)","(50.466184708373575,32.21813724603368)","(56.23567284433467,34.191364423808125)","(61.949439024548106,35.0918661492783)","(66.50145371351476,36.352433330144564)","(70.91340949044258,39.51554029365677)","(75.6729819196193,44.141013656165676)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(0.12482991175369496,12.1552840523327)","(6.353225962118314,16.325253637608863)","(12.570030275581788,20.504393375486085)","(18.78490555321209,24.68396734577766)","(25.010279275100643,28.853480478821666)","(30.841011097699912,32.90897445108015)","(36.55277316029716,37.30163508798524)","(42.612131112240135,41.22413307465699)","(48.80161751430649,45.16786494512934)","(54.94685974703734,49.343918771469845)","(61.015831081933655,53.76246702354588)","(67.25264788647401,57.97378006929247)","(73.64171299701694,61.90135160417081)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(80.99999999999939,14.203607328829834)","(73.78648355068063,16.25326016459461)","(66.57580184854358,18.301800603213685)","(59.37823836394101,20.344656858468724)","(52.2419305967318,22.348847683185312)","(45.46301890966358,24.063522858194638)","(39.26671179040757,25.330639853908814)","(33.82563728918149,26.273812115778867)","(27.893564405107035,26.570192650458075)","(20.461645618743628,27.368752255991595)","(13.301692492623758,29.666972384496148)","(6.6608685016431295,32.98013658414599)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(75.16689100578714,12.34617773425258)","(69.08580697851954,16.718504770720514)","(62.91201328269514,20.27241780905161)","(56.82234262462144,22.153813472119673)","(51.06633430885489,24.626645140860983)","(45.972761411932524,26.823218762489127)","(40.11623428272025,28.342164907733046)","(33.54233623440821,29.483137243638737)","(27.2644752615798,31.75377780167246)","(20.932327639782752,34.14571633230303)","(14.881702196165156,36.80899451807483)","(9.357609705957051,38.76187048695958)","(4.969832768587594,42.29004950276678)",,,,,,,,,,,,,,,,,,,,,,,
